week,prey_spp,mean_sharp_oi,mean_sharp_oi_se,mean_prey_ai,mean_prey_ai_se,sharp_wt_mean_prey_ai,sharp_wt_mean_prey_ai_se,detected_in_diet,seasonal_mean_prey_ai
11/23/2019,California Scrub-Jay,0.184173084,0.019180707,2.451739337,0.127810234,0.626805634,0.084655269,yes,2.3192073
11/30/2019,California Scrub-Jay,0.171803035,0.014657158,2.53002714,0.134353699,0.62532669,0.074015953,yes,2.3192073
8/3/2019,White-crowned Sparrow,0.004296141,0.000326679,0.14525359,0.014087273,0,0,yes,2.243543202
8/10/2019,White-crowned Sparrow,0.005751341,0.00037618,0.137852383,0.013877757,0.000206148,0.000153625,yes,2.243543202
8/17/2019,White-crowned Sparrow,0.010672759,0.000614115,0.136826078,0.013618201,0.001508259,0.000479153,yes,2.243543202
8/24/2019,White-crowned Sparrow,0.017598339,0.001465635,0.148719845,0.01409928,0.005076747,0.001043001,yes,2.243543202
8/31/2019,White-crowned Sparrow,0.024875634,0.002237459,0.160054363,0.014750408,0.008673844,0.001645083,yes,2.243543202
9/7/2019,White-crowned Sparrow,0.04305209,0.00422835,0.202050281,0.016720303,0.015625989,0.002603696,yes,2.243543202
9/14/2019,White-crowned Sparrow,0.084831471,0.007041439,0.928570932,0.055571887,0.103274051,0.012427798,yes,2.243543202
9/21/2019,White-crowned Sparrow,0.130040701,0.0102244,2.178232983,0.133989782,0.335780512,0.040183945,yes,2.243543202
9/28/2019,White-crowned Sparrow,0.163891643,0.011887576,3.276277826,0.198664977,0.598253129,0.070379518,yes,2.243543202
10/5/2019,White-crowned Sparrow,0.207526829,0.013673862,3.995232918,0.229372791,0.97887978,0.115695602,yes,2.243543202
10/12/2019,White-crowned Sparrow,0.218119993,0.013912487,4.108684332,0.220202936,1.112214656,0.129523564,yes,2.243543202
10/19/2019,White-crowned Sparrow,0.225497923,0.015898356,3.850254738,0.21133051,1.174423967,0.143177702,yes,2.243543202
10/26/2019,White-crowned Sparrow,0.247060452,0.018963376,3.757492634,0.209099992,1.246985547,0.166856537,yes,2.243543202
11/2/2019,White-crowned Sparrow,0.244498094,0.024041265,3.574009516,0.190834085,1.265155906,0.167557039,yes,2.243543202
11/9/2019,White-crowned Sparrow,0.229027994,0.024248421,3.48617605,0.182860494,1.213923395,0.162893879,yes,2.243543202
11/16/2019,White-crowned Sparrow,0.204150392,0.02358607,3.418292532,0.168219095,1.16006905,0.159557581,yes,2.243543202
11/23/2019,White-crowned Sparrow,0.184173084,0.019180707,3.430527619,0.167934071,1.128554325,0.137047048,yes,2.243543202
11/30/2019,White-crowned Sparrow,0.171803035,0.014657158,3.449269006,0.177184225,1.126301992,0.105174118,yes,2.243543202
8/3/2019,Steller's Jay,0.004296141,0.000326679,1.749783991,0.088829214,0.009855892,0.000949974,yes,2.058665629
8/10/2019,Steller's Jay,0.005751341,0.00037618,1.830225314,0.083548613,0.012783671,0.001219336,yes,2.058665629
8/17/2019,Steller's Jay,0.010672759,0.000614115,1.920662125,0.086294518,0.021192249,0.00171763,yes,2.058665629
8/24/2019,Steller's Jay,0.017598339,0.001465635,2.074643971,0.092583996,0.029421839,0.002929792,yes,2.058665629
