sample_id,band_number,date,species,age,sex,ssha_weight,prey,prey_name,migratory,lure,trap,crop,prey_mass,prey_size,year
2015-051,1803-10809,24-Oct-15,SSHA,HY,M,,RBNU,Red-breasted Nuthatch,irruptive,ST,dg,f,11,small,2015
2015-231,1272-31545,24-Oct-15,SSHA,HY,M,110.3,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,CBCH,Chestnut-backed Chickadee,resident,ST,dg,e,9,small,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,DEJU,Dark-eyed Junco,partial_migrant,ST,dg,e,20,small,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,e,6,small,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,PISI,Pine Siskin,irruptive,ST,dg,e,15,small,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,RCKI,Ruby-crowned Kinglet,migrant,ST,dg,e,54,medium,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,SWTH,Swainson's Thrush,migrant,ST,dg,e,34,medium,2015
2015-309,1803-10810,25-Oct-15,SSHA,HY,M,109.9,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-280,1833-01218,26-Oct-15,SSHA,SY,F,158.5,CALT,California Towhee,resident,HS,dg,e,57,medium,2015
2015-302,1783-52785,26-Oct-15,SSHA,HY,F,161.6,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-319,1212-17363,26-Oct-15,SSHA,HY,M,,HETH,Hermit Thrush,migrant,ST,dg,f,30,medium,2015
2015-280,1833-01218,26-Oct-15,SSHA,SY,F,158.5,HETH,Hermit Thrush,migrant,HS,dg,e,30,medium,2015
2015-319,1212-17363,26-Oct-15,SSHA,HY,M,,HUVI,Hutton's Vireo,resident,ST,dg,f,12,small,2015
2015-302,1783-52785,26-Oct-15,SSHA,HY,F,161.6,SPTO,Spotted Towhee,resident,ST,dg,e,41,medium,2015
2015-302,1783-52785,26-Oct-15,SSHA,HY,F,161.6,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-319,1212-17363,26-Oct-15,SSHA,HY,M,,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-280,1833-01218,26-Oct-15,SSHA,SY,F,158.5,VATH,Varied Thrush,partial_migrant,HS,dg,e,83,large,2015
2015-303,1833-01219,29-Oct-15,SSHA,HY,F,168.8,FOSP,Fox Sparrow,migrant,ST,dg,e,32,medium,2015
2015-323,1803-10811,29-Oct-15,SSHA,HY,M,110.4,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,f,6,small,2015
2015-323,1803-10811,29-Oct-15,SSHA,HY,M,110.4,YRWA,Yellow-rumped Warbler,migrant,ST,dg,f,12,small,2015
2015-322,1803-10814,30-Oct-15,SSHA,HY,M,98.3,AMRO,American Robin,partial_migrant,ST,dg,e,77,large,2015
2015-179,1713-55563,30-Oct-15,SSHA,HY,M,102.1,DEJU,Dark-eyed Junco,partial_migrant,HS,bn,e,20,small,2015
2015-179,1713-55563,30-Oct-15,SSHA,HY,M,102.1,GCKI,Golden-crowned Kinglet,partial_migrant,HS,bn,e,6,small,2015
2015-179,1713-55563,30-Oct-15,SSHA,HY,M,102.1,HETH,Hermit Thrush,migrant,HS,bn,e,30,medium,2015
2015-318,1803-10813,30-Oct-15,SSHA,HY,M,104.6,HETH,Hermit Thrush,migrant,ST,dg,f,30,medium,2015
2015-322,1803-10814,30-Oct-15,SSHA,HY,M,98.3,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-179,1713-55563,30-Oct-15,SSHA,HY,M,102.1,RBNU,Red-breasted Nuthatch,irruptive,HS,bn,e,11,small,2015
2015-261,1593-26990,30-Oct-15,SSHA,HY,F,171.3,RCKI,Ruby-crowned Kinglet,migrant,ST,bn,e,54,medium,2015
2015-261,1593-26990,30-Oct-15,SSHA,HY,F,171.3,VATH,Varied Thrush,partial_migrant,ST,bn,e,83,large,2015
2015-327,1803-10812,30-Oct-15,SSHA,HY,M,95.3,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-179,1713-55563,30-Oct-15,SSHA,HY,M,102.1,VATH,Varied Thrush,partial_migrant,HS,bn,e,83,large,2015
2015-327,1803-10812,30-Oct-15,SSHA,HY,M,95.3,WREN,Wrentit,resident,ST,dg,e,15,small,2015
2015-285,1292-50699,31-Oct-15,SSHA,HY,M,93.9,AMGO,American Goldfinch,migrant,HS,dg,e,16,small,2015
2015-400,1783-52788,31-Oct-15,SSHA,HY,F,,CALT,California Towhee,resident,ST,bn,f,57,medium,2015
2015-285,1292-50699,31-Oct-15,SSHA,HY,M,93.9,HETH,Hermit Thrush,migrant,HS,dg,e,30,medium,2015
2015-285,1292-50699,31-Oct-15,SSHA,HY,M,93.9,SPTO,Spotted Towhee,resident,HS,dg,e,41,medium,2015
2015-400,1783-52788,31-Oct-15,SSHA,HY,F,,SPTO,Spotted Towhee,resident,ST,bn,f,41,medium,2015
2015-328,1212-17364,1-Nov-15,SSHA,HY,M,111.2,CAVI,Cassin's Vireo,migrant,ST,dg,e,16,small,2015
2015-328,1212-17364,1-Nov-15,SSHA,HY,M,111.2,FOSP,Fox Sparrow,migrant,ST,dg,e,32,medium,2015
2015-328,1212-17364,1-Nov-15,SSHA,HY,M,111.2,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,e,6,small,2015
2015-324,1783-52789,1-Nov-15,SSHA,HY,F,173.5,HETH,Hermit Thrush,migrant,HS,dg,e,30,medium,2015
2015-328,1212-17364,1-Nov-15,SSHA,HY,M,111.2,RCKI,Ruby-crowned Kinglet,migrant,ST,dg,e,54,medium,2015
2015-324,1783-52789,1-Nov-15,SSHA,HY,F,173.5,VATH,Varied Thrush,partial_migrant,HS,dg,e,83,large,2015
2015-328,1212-17364,1-Nov-15,SSHA,HY,M,111.2,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-335,1292-50700,1-Nov-15,SSHA,HY,M,93.1,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-339,1272-31546,3-Nov-15,SSHA,HY,M,93,DEJU,Dark-eyed Junco,partial_migrant,HS,dg,e,20,small,2015
2015-262,1533-17845,3-Nov-15,SSHA,HY,F,156.4,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,e,6,small,2015
2015-339,1272-31546,3-Nov-15,SSHA,HY,M,93,HETH,Hermit Thrush,migrant,HS,dg,e,30,medium,2015
2015-339,1272-31546,3-Nov-15,SSHA,HY,M,93,HUVI,Hutton's Vireo,resident,HS,dg,e,12,small,2015
2015-262,1533-17845,3-Nov-15,SSHA,HY,F,156.4,RCKI,Ruby-crowned Kinglet,migrant,ST,dg,e,54,medium,2015
2015-339,1272-31546,3-Nov-15,SSHA,HY,M,93,SPTO,Spotted Towhee,resident,HS,dg,e,41,medium,2015
2015-262,1533-17845,3-Nov-15,SSHA,HY,F,156.4,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-339,1272-31546,3-Nov-15,SSHA,HY,M,93,WBNU,White-breasted Nuthatch,resident,HS,dg,e,24,small,2015
2015-326,1803-10815,5-Nov-15,SSHA,HY,M,113,DEJU,Dark-eyed Junco,partial_migrant,ST,dg,f,20,small,2015
2015-326,1803-10815,5-Nov-15,SSHA,HY,M,113,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,f,6,small,2015
2015-326,1803-10815,5-Nov-15,SSHA,HY,M,113,PISI,Pine Siskin,irruptive,ST,dg,f,15,small,2015
2015-326,1803-10815,5-Nov-15,SSHA,HY,M,113,RBNU,Red-breasted Nuthatch,irruptive,ST,dg,f,11,small,2015
2015-326,1803-10815,5-Nov-15,SSHA,HY,M,113,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-314,1833-01223,7-Nov-15,SSHA,HY,F,187.1,HETH,Hermit Thrush,migrant,ST,dg,f,30,medium,2015
2015-314,1833-01223,7-Nov-15,SSHA,HY,F,187.1,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-360,1803-10816,10-Nov-15,SSHA,HY,M,105.9,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-360,1803-10816,10-Nov-15,SSHA,HY,M,105.9,RCKI,Ruby-crowned Kinglet,migrant,ST,dg,e,54,medium,2015
2015-360,1803-10816,10-Nov-15,SSHA,HY,M,105.9,SPTO,Spotted Towhee,resident,ST,dg,e,41,medium,2015
2015-360,1803-10816,10-Nov-15,SSHA,HY,M,105.9,SWTH,Swainson's Thrush,migrant,ST,dg,e,34,medium,2015
2015-354,1783-79620,11-Nov-15,SSHA,HY,F,181,AMRO,American Robin,partial_migrant,ST,dg,e,77,large,2015
2015-354,1783-79620,11-Nov-15,SSHA,HY,F,181,CALT,California Towhee,resident,ST,dg,e,57,medium,2015
2015-349,1803-10710,11-Nov-15,SSHA,HY,M,116.2,FOSP,Fox Sparrow,migrant,HS,dg,f,32,medium,2015
2015-349,1803-10710,11-Nov-15,SSHA,HY,M,116.2,HETH,Hermit Thrush,migrant,HS,dg,f,30,medium,2015
2015-354,1783-79620,11-Nov-15,SSHA,HY,F,181,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-349,1803-10710,11-Nov-15,SSHA,HY,M,116.2,SPTO,Spotted Towhee,resident,HS,dg,f,41,medium,2015
2015-349,1803-10710,11-Nov-15,SSHA,HY,M,116.2,WTSP,White-throated Sparrow,migrant,HS,dg,f,27,small,2015
2015-256,1803-10817,13-Nov-15,SSHA,HY,M,98.7,GCKI,Golden-crowned Kinglet,partial_migrant,HS,dg,e,6,small,2015
2015-256,1803-10817,13-Nov-15,SSHA,HY,M,98.7,HETH,Hermit Thrush,migrant,HS,dg,e,30,medium,2015
2015-256,1803-10817,13-Nov-15,SSHA,HY,M,98.7,RBNU,Red-breasted Nuthatch,irruptive,HS,dg,e,11,small,2015
2015-352,1212-17366,15-Nov-15,SSHA,HY,M,117.3,FOSP,Fox Sparrow,migrant,HS,bn,f,32,medium,2015
2015-352,1212-17366,15-Nov-15,SSHA,HY,M,117.3,GCKI,Golden-crowned Kinglet,partial_migrant,HS,bn,f,6,small,2015
2015-352,1212-17366,15-Nov-15,SSHA,HY,M,117.3,NAWA,Nashville Warbler,migrant,HS,bn,f,10,small,2015
2015-352,1212-17366,15-Nov-15,SSHA,HY,M,117.3,SOSP,Song Sparrow,partial_migrant,HS,bn,f,24,small,2015
2015-305,1212-17367,16-Nov-15,SSHA,HY,M,93.6,GCKI,Golden-crowned Kinglet,partial_migrant,HS,dg,e,6,small,2015
2015-305,1212-17367,16-Nov-15,SSHA,HY,M,93.6,PISI,Pine Siskin,irruptive,HS,dg,e,15,small,2015
2015-357,1783-52791,17-Nov-15,SSHA,HY,F,183.5,PISI,Pine Siskin,irruptive,ST,dg,e,15,small,2015
2015-357,1783-52791,17-Nov-15,SSHA,HY,F,183.5,STJA,Steller's Jay,resident,ST,dg,e,120,large,2015
2015-031,1803-10818,19-Nov-15,SSHA,HY,M,,FOSP,Fox Sparrow,migrant,ST,dg,f,32,medium,2015
2015-031,1803-10818,19-Nov-15,SSHA,HY,M,,HETH,Hermit Thrush,migrant,ST,dg,f,30,medium,2015
2015-229,1783-79623,19-Nov-15,SSHA,HY,F,159.9,SPTO,Spotted Towhee,resident,ST,dg,e,41,medium,2015
2015-031,1803-10818,19-Nov-15,SSHA,HY,M,,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-356,1803-10814,20-Nov-15,SSHA,HY,M,98.3,AMRO,American Robin,partial_migrant,ST,dg,e,77,large,2015
2015-356,1803-10814,20-Nov-15,SSHA,HY,M,98.3,BUSH,Bushtit,resident,ST,dg,e,5,small,2015
2015-356,1803-10814,20-Nov-15,SSHA,HY,M,98.3,DEJU,Dark-eyed Junco,partial_migrant,ST,dg,e,20,small,2015
2015-356,1803-10814,20-Nov-15,SSHA,HY,M,98.3,GCKI,Golden-crowned Kinglet,partial_migrant,ST,dg,e,6,small,2015
2015-356,1803-10814,20-Nov-15,SSHA,HY,M,98.3,HETH,Hermit Thrush,migrant,ST,dg,e,30,medium,2015
2015-311,1803-10820,21-Nov-15,SSHA,HY,M,92.4,DEJU,Dark-eyed Junco,partial_migrant,HS,bn,e,20,small,2015
2015-336,1783-79624,21-Nov-15,SSHA,HY,F,164.2,FOSP,Fox Sparrow,migrant,ST,bn,e,32,medium,2015
2015-347,1212-17368,21-Nov-15,SSHA,HY,M,104,FOSP,Fox Sparrow,migrant,HS,bn,e,32,medium,2015
2015-347,1212-17368,21-Nov-15,SSHA,HY,M,104,HETH,Hermit Thrush,migrant,HS,bn,e,30,medium,2015
2015-311,1803-10820,21-Nov-15,SSHA,HY,M,92.4,RCKI,Ruby-crowned Kinglet,migrant,HS,bn,e,54,medium,2015
2015-347,1212-17368,21-Nov-15,SSHA,HY,M,104,SPTO,Spotted Towhee,resident,HS,bn,e,41,medium,2015
2015-351,1272-31548,25-Nov-15,SSHA,HY,M,103.2,CBCH,Chestnut-backed Chickadee,resident,ST,dg,f,9,small,2015
2015-351,1272-31548,25-Nov-15,SSHA,HY,M,103.2,FOSP,Fox Sparrow,migrant,ST,dg,f,32,medium,2015
2015-351,1272-31548,25-Nov-15,SSHA,HY,M,103.2,HETH,Hermit Thrush,migrant,ST,dg,f,30,medium,2015
2015-351,1272-31548,25-Nov-15,SSHA,HY,M,103.2,PISI,Pine Siskin,irruptive,ST,dg,f,15,small,2015
2015-351,1272-31548,25-Nov-15,SSHA,HY,M,103.2,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2016-014,1212-17370,7-Sep-16,SSHA,HY,M,84.2,AMGO,American Goldfinch,migrant,st,dg,e,16,small,2016
2016-014,1212-17370,7-Sep-16,SSHA,HY,M,84.2,HOFI,House Finch,resident,st,dg,e,22,small,2016
2016-014,1212-17370,7-Sep-16,SSHA,HY,M,84.2,HUVI,Hutton's Vireo,resident,st,dg,e,12,small,2016
2016-014,1212-17370,7-Sep-16,SSHA,HY,M,84.2,WBNU,White-breasted Nuthatch,resident,st,dg,e,24,small,2016
2016-052,1803-10822,11-Sep-16,SSHA,HY,M,94.5,BGGN,Blue-gray Gnatcatcher,partial_migrant,st,dg,e,6,small,2016
2016-052,1803-10822,11-Sep-16,SSHA,HY,M,94.5,PYNU,Pygmy Nuthatch,resident,st,dg,e,10,small,2016
2015-340,1833-01228,11-Sep-16,SSHA,HY,F,159.4,SWTH,Swainson's Thrush,migrant,st,bn,e,34,medium,2016
2016-052,1803-10822,11-Sep-16,SSHA,HY,M,94.5,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-042,1783-79630,12-Sep-16,SSHA,HY,F,160.2,BARS,Barn Swallow,migrant,st,dg,e,18,small,2016
2016-042,1783-79630,12-Sep-16,SSHA,HY,F,160.2,MODO,Mourning Dove,partial_migrant,st,dg,e,128,large,2016
2016-024,1783-79631,13-Sep-16,SSHA,HY,F,158.3,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-026,1212-17371,13-Sep-16,SSHA,HY,M,106.2,BEWR,Bewick's Wren,resident,st,dg,f,10,small,2016
2016-103,1803-10713,13-Sep-16,SSHA,HY,M,101.8,BGGN,Blue-gray Gnatcatcher,partial_migrant,st,dg,e,6,small,2016
2016-026,1212-17371,13-Sep-16,SSHA,HY,M,106.2,GCKI,Golden-crowned Kinglet,partial_migrant,st,dg,f,6,small,2016
2016-116,1833-01230,13-Sep-16,SSHA,HY,F,176.5,HOFI,House Finch,resident,pi,dg,f,22,small,2016
2016-116,1833-01230,13-Sep-16,SSHA,HY,F,176.5,SASP,Savannah Sparrow,partial_migrant,pi,dg,f,22,small,2016
2016-026,1212-17371,13-Sep-16,SSHA,HY,M,106.2,SPTO,Spotted Towhee,resident,st,dg,f,41,medium,2016
2016-116,1833-01230,13-Sep-16,SSHA,HY,F,176.5,YEWA,Yellow Warbler,migrant,pi,dg,f,10,small,2016
2016-009,1783-79634,14-Sep-16,SSHA,HY,F,180.4,AMRO,American Robin,partial_migrant,st,dg,e,77,large,2016
2016-031,1683-01630,14-Sep-16,SSHA,HY,M,100.4,BRCR,Brown Creeper,resident,st,dg,e,7,small,2016
2015-343,1783-52797,14-Sep-16,SSHA,HY,F,160,CASJ,California Scrub-Jay,resident,st,dg,e,85,large,2016
2016-031,1683-01630,14-Sep-16,SSHA,HY,M,100.4,CBCH,Chestnut-backed Chickadee,resident,st,dg,e,9,small,2016
2016-019,1783-79635,14-Sep-16,SSHA,HY,F,182.3,FOSP,Fox Sparrow,migrant,st,dg,e,32,medium,2016
2016-031,1683-01630,14-Sep-16,SSHA,HY,M,100.4,FOSP,Fox Sparrow,migrant,st,dg,e,32,medium,2016
2016-046,1783-79632,14-Sep-16,SSHA,HY,F,175.4,FOSP,Fox Sparrow,migrant,pi,dg,f,32,medium,2016
2016-009,1783-79634,14-Sep-16,SSHA,HY,F,180.4,HOFI,House Finch,resident,st,dg,e,22,small,2016
2016-028,1783-52796,14-Sep-16,SSHA,HY,F,147,HOFI,House Finch,resident,st,bn,e,22,small,2016
2016-019,1783-79635,14-Sep-16,SSHA,HY,F,182.3,MODO,Mourning Dove,partial_migrant,st,dg,e,128,large,2016
2015-337,1783-52795,14-Sep-16,SSHA,HY,F,,NOMO,Northern Mockingbird,resident,st,dg,f,51,medium,2016
2015-343,1783-52797,14-Sep-16,SSHA,HY,F,160,NOMO,Northern Mockingbird,resident,st,dg,e,51,medium,2016
2016-049,1823-26037,14-Sep-16,SSHA,HY,F,177,NOMO,Northern Mockingbird,resident,st,dg,e,51,medium,2016
2016-008,1783-79636,14-Sep-16,SSHA,HY,F,170.4,SASP,Savannah Sparrow,partial_migrant,st,dg,e,22,small,2016
2015-343,1783-52797,14-Sep-16,SSHA,HY,F,160,SOSP,Song Sparrow,partial_migrant,st,dg,e,24,small,2016
2015-343,1783-52797,14-Sep-16,SSHA,HY,F,160,SPTO,Spotted Towhee,resident,st,dg,e,41,medium,2016
2016-008,1783-79636,14-Sep-16,SSHA,HY,F,170.4,SPTO,Spotted Towhee,resident,st,dg,e,41,medium,2016
2016-031,1683-01630,14-Sep-16,SSHA,HY,M,100.4,SPTO,Spotted Towhee,resident,st,dg,e,41,medium,2016
2016-018,1533-17846,14-Sep-16,SSHA,HY,F,174.9,TRBL,Tricolored Blackbird,resident,st,dg,e,57,medium,2016
2016-019,1783-79635,14-Sep-16,SSHA,HY,F,182.3,VESP,Vesper Sparrow,partial_migrant,st,dg,e,24,small,2016
2015-343,1783-52797,14-Sep-16,SSHA,HY,F,160,WCSP,White-crowned Sparrow,partial_migrant,st,dg,e,27,small,2016
2016-008,1783-79636,14-Sep-16,SSHA,HY,F,170.4,WETA,Western Tanager,migrant,st,dg,e,30,medium,2016
2016-019,1783-79635,14-Sep-16,SSHA,HY,F,182.3,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-022,1783-79633,14-Sep-16,SSHA,HY,F,158.9,YEWA,Yellow Warbler,migrant,st,bn,e,10,small,2016
2016-031,1683-01630,14-Sep-16,SSHA,HY,M,100.4,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-098,1833-01233,15-Sep-16,SSHA,HY,F,167.8,AMGO,American Goldfinch,migrant,st,bn,e,16,small,2016
2016-068,1823-26108,15-Sep-16,SSHA,HY,F,166.3,AMRO,American Robin,partial_migrant,st,dg,e,77,large,2016
2016-012,1823-26038,15-Sep-16,SSHA,HY,F,161,BHCO,Brown-headed Cowbird,partial_migrant,st,bn,e,40,medium,2016
2016-100,1783-52799,15-Sep-16,SSHA,HY,F,168.2,EUCD,Eurasian Collared-Dove,resident,st,dg,e,160,large,2016
2016-012,1823-26038,15-Sep-16,SSHA,HY,F,161,HOFI,House Finch,resident,st,bn,e,22,small,2016
2016-102,1833-01232,15-Sep-16,SSHA,HY,F,184.7,PISI,Pine Siskin,irruptive,st,bn,e,15,small,2016
2016-007,1683-01631,15-Sep-16,SSHA,HY,M,93.6,PSFL,Pacific-slope Flycatcher,migrant,hs,bn,f,11,small,2016
2016-012,1823-26038,15-Sep-16,SSHA,HY,F,161,SASP,Savannah Sparrow,partial_migrant,st,bn,e,22,small,2016
2016-012,1823-26038,15-Sep-16,SSHA,HY,F,161,SPTO,Spotted Towhee,resident,st,bn,e,41,medium,2016
2016-051,1783-79639,15-Sep-16,SSHA,HY,F,181.5,VATH,Varied Thrush,partial_migrant,st,dg,e,83,large,2016
2016-007,1683-01631,15-Sep-16,SSHA,HY,M,93.6,WAVI,Warbling Vireo,migrant,hs,bn,f,13,small,2016
2016-100,1783-52799,15-Sep-16,SSHA,HY,F,168.2,WEBL,Western Bluebird,partial_migrant,st,dg,e,26,small,2016
2016-051,1783-79639,15-Sep-16,SSHA,HY,F,181.5,WETA,Western Tanager,migrant,st,dg,e,30,medium,2016
2016-007,1683-01631,15-Sep-16,SSHA,HY,M,93.6,WIWA,Wilson's Warbler,migrant,hs,bn,f,8,small,2016
2016-115,1783-52798,15-Sep-16,SSHA,HY,F,147.4,WREN,Wrentit,resident,st,dg,e,15,small,2016
2016-083,1083-10823,15-Sep-16,SSHA,HY,M,94.2,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-100,1783-52799,15-Sep-16,SSHA,HY,F,168.2,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-129,1833-28001,16-Sep-16,SSHA,HY,F,168.3,AMGO,American Goldfinch,migrant,st,dg,e,16,small,2016
2016-069,1823-26040,16-Sep-16,SSHA,HY,F,176.8,AMRO,American Robin,partial_migrant,st,bn,e,77,large,2016
2016-010,1593-26998,16-Sep-16,SSHA,HY,F,160.8,BEWR,Bewick's Wren,resident,pi,dg,e,10,small,2016
2016-109,1833-01251,16-Sep-16,SSHA,HY,F,150,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-066,1833-01253,16-Sep-16,SSHA,HY,F,160.8,CALT,California Towhee,resident,st,dg,e,57,medium,2016
2016-093,1533-17848,16-Sep-16,SSHA,HY,F,178.6,CALT,California Towhee,resident,st,dg,f,57,medium,2016
2016-094,1783-79644,16-Sep-16,SSHA,HY,F,186.3,CALT,California Towhee,resident,st,dg,f,57,medium,2016
2016-126,1713-55575,16-Sep-16,SSHA,HY,M,101,CBCH,Chestnut-backed Chickadee,resident,st,dg,f,9,small,2016
2016-104,1833-01234,16-Sep-16,SSHA,HY,F,148.4,DEJU,Dark-eyed Junco,partial_migrant,st,dg,e,20,small,2016
2016-129,1833-28001,16-Sep-16,SSHA,HY,F,168.3,EUCD,Eurasian Collared-Dove,resident,st,dg,e,160,large,2016
2016-094,1783-79644,16-Sep-16,SSHA,HY,F,186.3,FOSP,Fox Sparrow,migrant,st,dg,f,32,medium,2016
2016-066,1833-01253,16-Sep-16,SSHA,HY,F,160.8,HOFI,House Finch,resident,st,dg,e,22,small,2016
2016-069,1823-26040,16-Sep-16,SSHA,HY,F,176.8,HOFI,House Finch,resident,st,bn,e,22,small,2016
2016-096,1783-79646,16-Sep-16,SSHA,HY,F,176.2,HOFI,House Finch,resident,st,dg,f,22,small,2016
2016-104,1833-01234,16-Sep-16,SSHA,HY,F,148.4,HOFI,House Finch,resident,st,dg,e,22,small,2016
2016-094,1783-79644,16-Sep-16,SSHA,HY,F,186.3,MODO,Mourning Dove,partial_migrant,st,dg,f,128,large,2016
2016-107,1803-10714,16-Sep-16,SSHA,HY,M,107.5,OCWA,Orange-crowned Warbler,migrant,st,dg,f,9,small,2016
2016-096,1783-79646,16-Sep-16,SSHA,HY,F,176.2,RWBL,Red-winged Blackbird,resident,st,dg,f,54,medium,2016
2016-010,1593-26998,16-Sep-16,SSHA,HY,F,160.8,SASP,Savannah Sparrow,partial_migrant,pi,dg,e,22,small,2016
2016-090,1783-79645,16-Sep-16,SSHA,HY,F,166.8,SASP,Savannah Sparrow,partial_migrant,st,bn,e,22,small,2016
2016-109,1833-01251,16-Sep-16,SSHA,HY,F,150,SASP,Savannah Sparrow,partial_migrant,st,dg,e,22,small,2016
2016-094,1783-79644,16-Sep-16,SSHA,HY,F,186.3,SPTO,Spotted Towhee,resident,st,dg,f,41,medium,2016
2016-109,1833-01251,16-Sep-16,SSHA,HY,F,150,SWTH,Swainson's Thrush,migrant,st,dg,e,34,medium,2016
2016-069,1823-26040,16-Sep-16,SSHA,HY,F,176.8,WETA,Western Tanager,migrant,st,bn,e,30,medium,2016
2016-090,1783-79645,16-Sep-16,SSHA,HY,F,166.8,WETA,Western Tanager,migrant,st,bn,e,30,medium,2016
2016-099,1833-01252,16-Sep-16,SSHA,HY,F,147,WIWA,Wilson's Warbler,migrant,st,dg,e,8,small,2016
2016-107,1803-10714,16-Sep-16,SSHA,HY,M,107.5,WIWA,Wilson's Warbler,migrant,st,dg,f,8,small,2016
2016-126,1713-55575,16-Sep-16,SSHA,HY,M,101,WIWA,Wilson's Warbler,migrant,st,dg,f,8,small,2016
2016-104,1833-01234,16-Sep-16,SSHA,HY,F,148.4,YEWA,Yellow Warbler,migrant,st,dg,e,10,small,2016
2016-107,1803-10714,16-Sep-16,SSHA,HY,M,107.5,YEWA,Yellow Warbler,migrant,st,dg,f,10,small,2016
2016-126,1713-55575,16-Sep-16,SSHA,HY,M,101,YEWA,Yellow Warbler,migrant,st,dg,f,10,small,2016
2016-020,1783-79647,17-Sep-16,SSHA,HY,F,157.3,AMGO,American Goldfinch,migrant,st,mn,e,16,small,2016
2016-056,1803-10715,17-Sep-16,SSHA,HY,M,102.2,AMGO,American Goldfinch,migrant,st,dg,e,16,small,2016
2016-054,1783-79649,17-Sep-16,SSHA,HY,F,180.3,AMRO,American Robin,partial_migrant,st,dg,e,77,large,2016
2016-111,1833-01235,17-Sep-16,SSHA,HY,F,,AMRO,American Robin,partial_migrant,st,dg,f,77,large,2016
2016-013,1783-79648,17-Sep-16,SSHA,HY,F,158.8,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-021,1683-01632,17-Sep-16,SSHA,HY,M,90.4,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-056,1803-10715,17-Sep-16,SSHA,HY,M,102.2,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-097,1212-17373,17-Sep-16,SSHA,HY,M,98.9,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-110,1833-28003,17-Sep-16,SSHA,HY,F,162.2,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-113,1833-28002,17-Sep-16,SSHA,HY,F,164.6,BEWR,Bewick's Wren,resident,st,dg,e,10,small,2016
2016-013,1783-79648,17-Sep-16,SSHA,HY,F,158.8,BGGN,Blue-gray Gnatcatcher,partial_migrant,st,dg,e,6,small,2016
2016-013,1783-79648,17-Sep-16,SSHA,HY,F,158.8,BRBL,Brewer's Blackbird,resident,st,dg,e,59,medium,2016
2016-013,1783-79648,17-Sep-16,SSHA,HY,F,158.8,CALT,California Towhee,resident,st,dg,e,57,medium,2016
2016-059,1212-17372,17-Sep-16,SSHA,HY,M,98.7,CBCH,Chestnut-backed Chickadee,resident,st,dg,e,9,small,2016
2016-059,1212-17372,17-Sep-16,SSHA,HY,M,98.7,DEJU,Dark-eyed Junco,partial_migrant,st,dg,e,20,small,2016
2016-061,1833-01236,17-Sep-16,SSHA,HY,F,170.5,DEJU,Dark-eyed Junco,partial_migrant,st,dg,f,20,small,2016
