prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Northern Bobwhite,Odontophoridae,Seed,Shrubland,No,Resident,2.24,1,Occassionally
Northern Cardinal,Cardinalidae,Seed,Shrubland,Yes,Resident,1.63,1,Yes
Northern Flicker,Picidae,Invertebrates,Woodland,Yes,Short,2.16,1,Yes
Northern Fulmar,Procellariidae,Vertebrates,Ocean,No,Short,2.79,12.5,No
Northern Gannet,Sulidae,Vertebrates,Ocean,No,Short,3.48,3,No
Northern Goshawk,Accipitridae,Vertebrates,Woodland,No,Withdrawal,2.94,2,Occassionally
Northern Harrier,Accipitridae,Vertebrates,Various,No,Short,2.59,2.5,No
Northern Hawk Owl,Strigidae,Vertebrates,Woodland,No,Irruptive,2.51,1,No
Northern Mockingbird,Mimidae,Omnivore,Shrubland,Yes,Withdrawal,1.69,1,Occassionally
Northern Parula,Parulidae,Invertebrates,Woodland,No,Moderate,0.9,1,No
Northern Pintail,Anatidae,Omnivore,Wetland,No,Short,2.98,1,No
Northern Pygmy-Owl,Strigidae,Invertebrates,Woodland,No,Resident,1.79,1,No
Northern Rough-winged Swallow,Hirundinidae,Invertebrates,Various,Yes,Moderate,1.16,1,No
Purple Martin,Hirundinidae,Invertebrates,Various,Yes,Long,1.16,1,No
Northern Saw-whet Owl,Strigidae,Vertebrates,Woodland,No,Short,2,1,No
Northern Shoveler,Anatidae,Invertebrates,Wetland,No,Short,2.79,0.6,No
Northern Shrike,Laniidae,Vertebrates,Shrubland,No,Short,1.8,1,Occassionally
Northern Waterthrush,Parulidae,Invertebrates,Woodland,No,Moderate,1.24,1,No
Northwestern Crow,Corvidae,Omnivore,Wetland,Yes,Resident,2.59,2,No
Nuttall's Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.58,1,Occassionally
Olive Sparrow,Emberizidae,Omnivore,Shrubland,No,Resident,1.34,1,Occassionally
Olive-sided Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Long,1.15,1,No
Olive Warbler,Peucedramidae,Invertebrates,Woodland,No,Withdrawal,1.04,1,No
Orange-crowned Warbler,Parulidae,Invertebrates,Various,No,Moderate,0.96,2,Occassionally
Orchard Oriole,Icteridae,Omnivore,Woodland,No,Moderate,1.28,1,Occassionally
Osprey,Pandionidae,Vertebrates,Wetland,Yes,Short,3.22,3,No
Ovenbird,Parulidae,Invertebrates,Woodland,No,Moderate,1.27,1,No
Pacific Golden-Plover,Charadriidae,Invertebrates,Grassland,No,Long,2.18,1,No
Pacific-slope Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Moderate,1.04,1,No
Painted Bunting,Cardinalidae,Seed,Shrubland,No,Moderate,1.19,1,Occassionally
Painted Redstart,Parulidae,Invertebrates,Woodland,No,Withdrawal,1,1,No
Palm Warbler,Parulidae,Invertebrates,Various,No,Short,1.01,1,No
Parasitic Jaeger,Stercorariidae,Vertebrates,Ocean,No,Moderate,2.65,4.5,No
Pectoral Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.9,1,No
Pelagic Cormorant,Phalacrocoracidae,Vertebrates,Ocean,No,Short,3.27,2.5,No
Peregrine Falcon,Falconidae,Vertebrates,Various,Yes,Short,2.88,2,No
Phainopepla,Ptilogonatidae,Fruit,Woodland,No,Withdrawal,1.34,0.8,No
Pied-billed Grebe,Podicipedidae,Invertebrates,Wetland,No,Short,2.62,1.5,No
Pigeon Guillemot,Alcidae,Vertebrates,Ocean,No,Withdrawal,2.72,3.5,No
Pileated Woodpecker,Picidae,Invertebrates,Woodland,Yes,Resident,2.47,1,Yes
Pine Grosbeak,Fringillidae,Seed,Woodland,No,Irruptive,1.75,1,Yes
Pine Siskin,Fringillidae,Seed,Woodland,Yes,Irruptive,1.1,1,Yes
Pine Warbler,Parulidae,Invertebrates,Woodland,No,Short,1.07,1,Occassionally
Pinyon Jay,Corvidae,Omnivore,Woodland,No,Resident,2.02,2,Yes
Piping Plover,Charadriidae,Invertebrates,Ocean,No,Moderate,1.72,1,No
Plain Chachalaca,Cracidae,Seed,Woodland,Yes,Resident,2.69,1,No
Pomarine Jaeger,Stercorariidae,Vertebrates,Ocean,No,Moderate,2.84,1,No
Prairie Falcon,Falconidae,Vertebrates,Grassland,No,Short,2.85,1.5,No
Prairie Warbler,Parulidae,Invertebrates,Shrubland,No,Short,0.88,1,No
Prothonotary Warbler,Parulidae,Invertebrates,Wetland,No,Moderate,1.16,1,No
Purple Finch,Fringillidae,Seed,Woodland,Yes,Short,1.37,1,Yes
Purple Gallinule,Rallidae,Omnivore,Wetland,No,Short,2.32,1,No
Purple Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.81,2.5,No
Pygmy Nuthatch,Sittidae,Seed,Woodland,Yes,Resident,1.03,1,Yes
Pyrrhuloxia,Cardinalidae,Omnivore,Shrubland,No,Resident,1.55,1,Yes
Razorbill,Alcidae,Vertebrates,Ocean,No,Short,2.86,4.5,No
Red Crossbill,Fringillidae,Seed,Woodland,No,Resident,1.58,1,Occassionally
Red Knot,Scolopacidae,Invertebrates,Wetland,No,Long,2.15,2.5,No
Red-bellied Woodpecker,Picidae,Omnivore,Woodland,Yes,Resident,1.84,1,Yes
Red-billed Pigeon,Columbidae,Fruit,Woodland,No,Resident,2.4,1,No
Red-breasted Merganser,Anatidae,Vertebrates,Wetland,No,Moderate,3.01,2.5,No
Red-breasted Nuthatch,Sittidae,Seed,Woodland,Yes,Withdrawal,0.99,1,Yes
Red-breasted Sapsucker,Picidae,Omnivore,Woodland,No,Short,1.76,1,Occassionally
Red-cockaded Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.67,1,No
Red-crowned Parrot,Psittacidae,Fruit,Various,Yes,Resident,2.5,4,Occassionally
Reddish Egret,Ardeidae,Vertebrates,Wetland,No,Withdrawal,2.79,4,No
Red-faced Cormorant,Phalacrocoracidae,Vertebrates,Ocean,No,Resident,3.33,3,No
Redhead,Anatidae,Vegetation,Wetland,No,Short,3.03,1,No
Red-headed Woodpecker,Picidae,Omnivore,Woodland,Yes,Withdrawal,1.86,1,Occassionally
Red-naped Sapsucker,Picidae,Omnivore,Woodland,No,Short,1.7,1,Occassionally
Red-necked Grebe,Podicipedidae,Invertebrates,Wetland,No,Moderate,3.01,1,No
Red-necked Phalarope,Scolopacidae,Invertebrates,Wetland,No,Long,1.56,1,No
Red-shouldered Hawk,Accipitridae,Invertebrates,Woodland,No,Short,2.78,1,No
Red-tailed Hawk,Accipitridae,Vertebrates,Woodland,Yes,Short,3.04,3,No
Red-throated Loon,Gaviidae,Vertebrates,Wetland,No,Moderate,3.17,2.5,No
Red-winged Blackbird,Icteridae,Omnivore,Various,Yes,Short,1.71,2,Yes
Rhinoceros Auklet,Alcidae,Vertebrates,Ocean,No,Withdrawal,2.68,2.5,No
Ring-billed Gull,Laridae,Vertebrates,Wetland,Yes,Short,2.71,2,No
Ringed Kingfisher,Alcedinidae,Vertebrates,Wetland,No,Resident,2.51,1,No
Ring-necked Duck,Anatidae,Vegetation,Wetland,No,Short,2.85,1,No
Ring-necked Pheasant,Phasianidae,Vegetation,Grassland,No,Resident,3.05,1,Occassionally
Rock Ptarmigan,Tetraodonidae,Vegetation,Grassland,No,Withdrawal,2.73,1,No
Rock Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.97,1,No
Rock Wren,Troglodytidae,Invertebrates,Various,No,Short,1.21,1,No
Roseate Spoonbill,Threskiornithidae,Vertebrates,Wetland,No,Withdrawal,3.17,2.5,No
Rose-breasted Grosbeak,Cardinalidae,Fruit,Woodland,No,Moderate,1.62,1,Occassionally
Rose-ringed Parakeet,Psittacidae,Fruit,Various,Yes,Resident,2.11,3,No
Ross's Goose,Anatidae,Vegetation,Wetland,No,Moderate,3.16,2.5,No
Rough-legged Hawk,Accipitridae,Vertebrates,Grassland,No,Moderate,2.98,2.5,No
Royal Tern,Sternidae,Vertebrates,Ocean,No,Short,2.65,3.5,No
Ruby-crowned Kinglet,Regulidae,Invertebrates,Woodland,No,Short,0.81,2,Occassionally
Ruby-throated Hummingbird,Trochilidae,Nectar,Woodland,Yes,Moderate,0.49,1,Yes
Ruddy Duck,Anatidae,Invertebrates,Wetland,No,Short,2.78,1,No
Ruddy Ground-dove,Columbidae,Seed,Various,Yes,Resident,1.66,0.3,No
Ruddy Turnstone,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.13,2,No
Ruffed Grouse,Tetraodonidae,Vegetation,Woodland,No,Resident,2.73,0.3,Occassionally
Rufous Hummingbird,Trochilidae,Nectar,Woodland,No,Moderate,0.65,1,Yes
Rufous-crowned Sparrow,Emberizidae,Omnivore,Shrubland,No,Resident,1.28,1,Occassionally
Rufous-winged Sparrow,Emberizidae,Omnivore,Shrubland,No,Resident,1.18,1,No
Rusty Blackbird,Icteridae,Omnivore,Wetland,No,Moderate,1.78,1,No
Sage Thrasher,Mimidae,Invertebrates,Shrubland,No,Short,1.65,2,Occassionally
Sanderling,Scolopacidae,Invertebrates,Wetland,No,Long,1.71,2,No
Sandhill Crane,Gruidae,Omnivore,Wetland,No,Moderate,3.63,4.5,No
Sandwich Tern,Sternidae,Omnivore,Ocean,No,Short,2.3,3.5,No
Savannah Sparrow,Emberizidae,Omnivore,Grassland,No,Short,1.33,1,Occassionally
Say's Phoebe,Tyrannidae,Invertebrates,Various,Yes,Short,1.32,1,No
Scaled Quail,Odontophoridae,Seed,Shrubland,Yes,Resident,2.27,1,Occassionally
Scissor-tailed Flycatcher,Tyrannidae,Invertebrates,Shrubland,No,Moderate,1.61,1,No
Scott's Oriole,Icteridae,Invertebrates,Shrubland,No,Short,1.56,1,Occassionally
Seaside Sparrow,Emberizidae,Invertebrates,Wetland,No,Withdrawal,1.35,1,No
Sedge Wren,Troglodytidae,Invertebrates,Wetland,No,Moderate,0.96,1,No
Semipalmated Plover,Charadriidae,Invertebrates,Wetland,No,Long,1.67,2.5,No
Semipalmated Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.44,1,No
Sharp-shinned Hawk,Accipitridae,Vertebrates,Woodland,Yes,Short,2.12,2,Occassionally
Sharp-tailed Grouse,Tetraodonidae,Vegetation,Shrubland,No,Resident,2.95,0.6,No
Shiny Cowbird,Icteridae,Omnivore,Various,Yes,Short,1.6,1,No
Short-billed Dowitcher,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.04,1,No
Short-eared Owl,Strigidae,Vertebrates,Grassland,No,Short,2.51,1,No
Short-tailed Hawk,Accipitridae,Vertebrates,Woodland,No,Withdrawal,2.71,1.5,No
Short-tailed Shearwater,Procellariidae,Vertebrates,Ocean,No,Long,2.75,6,No
Skylark,Alaudidae,Seed,Grassland,No,Resident,1.57,1,No
Smith's Longspur,Emberizidae,Omnivore,Grassland,No,Moderate,1.45,1,No
Smooth-billed Ani,Crotophagidae,Invertebrates,Shrubland,Yes,Resident,2.04,2,No
Snail Kite,Accipitridae,Invertebrates,Wetland,No,Resident,2.57,1,No
Snow Bunting,Emberizidae,Seed,Grassland,No,Moderate,1.63,1,Occassionally
Snow Goose,Anatidae,Vegetation,Wetland,No,Moderate,3.42,2,No
Snowy Egret,Ardeidae,Invertebrates,Wetland,No,Short,2.57,1.5,No
Snowy Owl,Strigidae,Vertebrates,Grassland,No,Irruptive,3.36,2,No
Snowy Plover,Charadriidae,Invertebrates,Ocean,No,Short,1.63,0.9,No
Solitary Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.69,2,No
Song Sparrow,Emberizidae,Omnivore,Various,Yes,Short,1.38,1,Yes
Sooty Shearwater,Procellariidae,Vertebrates,Ocean,No,Long,2.9,6,No
Sora,Rallidae,Omnivore,Wetland,No,Short,1.87,1,No
Spot-breasted Oriole,Icteridae,Omnivore,Various,Yes,Resident,1.69,1,Occassionally
Spotted Dove,Columbidae,Seed,Various,Yes,Resident,2.22,1,Yes
Spotted Owl,Strigidae,Vertebrates,Woodland,No,Resident,2.77,3,No
Spotted Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.62,1,No
Sprague's Pipit,Motacillidae,Omnivore,Grassland,No,Moderate,1.38,1,No
Spruce Grouse,Tetraodonidae,Omnivore,Woodland,No,Resident,3.05,0.9,No
Steller's Eider,Anatidae,Invertebrates,Wetland,No,Moderate,2.91,2.5,No
Steller's Jay,Corvidae,Omnivore,Woodland,Yes,Resident,2.11,1,Yes
Stilt Sandpiper,Scolopacidae,Omnivore,Wetland,No,Long,1.8,1.5,No
Summer Tanager,Cardinalidae,Omnivore,Woodland,No,Moderate,1.45,1,No
Surf Scoter,Anatidae,Invertebrates,Wetland,No,Moderate,3,2.5,No
Surfbird,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.3,1,No
Swainson's Hawk,Accipitridae,Vertebrates,Various,No,Long,2.98,1.5,No
Swamp Sparrow,Emberizidae,Omnivore,Wetland,No,Short,1.24,1,Occassionally
Tennessee Warbler,Parulidae,Invertebrates,Woodland,No,Long,0.95,1,No
Thick-billed Kingbird,Tyrannidae,Invertebrates,Woodland,No,Withdrawal,1.74,1,No
Thick-billed Murre,Alcidae,Vertebrates,Ocean,No,Short,2.98,4.5,No
Townsend's Solitaire,Turdidae,Omnivore,Woodland,No,Short,1.51,1,Occassionally
Townsend's Warbler,Parulidae,Invertebrates,Woodland,No,Moderate,0.95,2,Occassionally
Tree Swallow,Hirundinidae,Invertebrates,Various,No,Moderate,1.29,1,No
Tricolored Blackbird,Icteridae,Invertebrates,Wetland,No,Short,1.76,1,No
Tricolored Heron,Ardeidae,Vertebrates,Wetland,No,Short,2.5,1.5,No
Tropical Parula,Parulidae,Invertebrates,Woodland,No,Withdrawal,0.85,1,No
Trumpeter Swan,Anatidae,Vegetation,Wetland,No,Short,4.04,5.5,No
Tufted Duck,Anatidae,Vegetation,Wetland,Yes,Long,2.85,1,No
Tundra Swan,Anatidae,Vegetation,Wetland,No,Moderate,3.81,3,No
Turkey Vulture,Cathartidae,Vertebrates,Various,Yes,Withdrawal,3.18,10.5,No
Varied Thrush,Turdidae,Omnivore,Woodland,No,Short,1.89,1,Yes
Vaux's Swift,Apodidae,Invertebrates,Woodland,No,Moderate,1.28,1,No
Black Swift,Apodidae,Invertebrates,Woodland,No,Moderate,1.28,1,No
Verdin,Paridae,Invertebrates,Shrubland,Yes,Resident,0.83,1,Occassionally
Vermilion Flycatcher,Tyrannidae,Invertebrates,Shrubland,No,Short,1.16,2,No
Vesper Sparrow,Emberizidae,Seed,Grassland,No,Moderate,1.41,2,No
Violet-crowned Hummingbird,Trochilidae,Nectar,Woodland,No,Short,0.7,1,Yes
Violet-green Swallow,Hirundinidae,Invertebrates,Woodland,No,Moderate,1.15,1,No
Virginia Rail,Rallidae,Invertebrates,Wetland,No,Short,1.9,1,No
Wandering Tattler,Scolopacidae,Invertebrates,Wetland,No,Long,2.07,2.5,No
Western Bluebird,Turdidae,Invertebrates,Woodland,No,Short,1.42,1,Occassionally
Western Gull,Laridae,Omnivore,Ocean,Yes,Withdrawal,2.97,4.5,No
Western Kingbird,Tyrannidae,Invertebrates,Woodland,Yes,Moderate,1.62,1,No
Western Meadowlark,Icteridae,Invertebrates,Grassland,No,Short,2,1,Occassionally
Western Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.44,1.5,No
California Scrub-Jay,Corvidae,Omnivore,Shrubland,Yes,Resident,1.94,1,Yes
Western Tanager,Cardinalidae,Omnivore,Woodland,No,Moderate,1.48,1,No
Whimbrel,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.56,1.5,No
Whiskered Screech-Owl,Strigidae,Vertebrates,Woodland,No,Resident,1.96,1,No
White Ibis,Threskiornithidae,Invertebrates,Wetland,Yes,Withdrawal,2.95,1.5,No
White-breasted Nuthatch,Sittidae,Seed,Woodland,Yes,Resident,1.32,1,Yes
White-collared Seedeater,Thraupidae,Seed,Shrubland,No,Resident,0.94,1,No
White-crowned Pigeon,Columbidae,Seed,Woodland,No,Resident,2.38,1,No
White-crowned Sparrow,Emberizidae,Seed,Various,Yes,Moderate,1.45,1,Yes
White-eyed Vireo,Vireonidae,Invertebrates,Shrubland,No,Short,1.06,1,No
White-faced Ibis,Threskiornithidae,Invertebrates,Wetland,No,Short,2.79,2,No
White-headed Woodpecker,Picidae,Omnivore,Woodland,No,Resident,1.79,1,No
White-rumped Sandpiper,Scolopacidae,Invertebrates,Wetland,No,Long,1.63,1,No
White-tailed Hawk,Accipitridae,Vertebrates,Grassland,No,Resident,3.01,2,No
White-tailed Kite,Accipitridae,Vertebrates,Various,No,Withdrawal,2.54,1,No
White-tailed Ptarmigan,Tetraodonidae,Vegetation,Grassland,No,Resident,2.55,1,No
White-throated Sparrow,Emberizidae,Seed,Woodland,No,Short,1.39,1,Yes
White-throated Swift,Apodidae,Invertebrates,Various,No,Short,1.49,1,No
White-tipped Dove,Columbidae,Seed,Woodland,No,Resident,2.17,1,Occassionally
White-winged Crossbill,Fringillidae,Seed,Woodland,No,Withdrawal,1.46,0.4,Occassionally
White-winged Dove,Columbidae,Seed,Various,Yes,Withdrawal,2.19,1,Yes
White-winged Parakeet,Psittacidae,Fruit,Woodland,Yes,Resident,1.86,2.5,Occassionally
White-winged Scoter,Anatidae,Invertebrates,Wetland,No,Moderate,3.26,2.5,No
Whooping Crane,Gruidae,Invertebrates,Wetland,No,Moderate,3.77,4.5,No
Wild Turkey,Meleagrididae,Omnivore,Woodland,Yes,Resident,3.76,0.8,Occassionally
Willet,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.39,2,No
Williamson's Sapsucker,Picidae,Omnivore,Woodland,No,Short,1.68,2,No
Willow Ptarmigan,Tetraodonidae,Vegetation,Shrubland,No,Withdrawal,2.75,1,No
Wilson's Phalarope,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.78,1,No
Wilson's Plover,Charadriidae,Invertebrates,Ocean,No,Short,1.74,1,No
Wilson's Snipe,Scolopacidae,Invertebrates,Wetland,No,Short,2.05,1,No
Wilson's Warbler,Parulidae,Invertebrates,Shrubland,No,Moderate,0.88,1,No
Pacific Wren,Troglodytidae,Invertebrates,Woodland,No,Short,0.99,2,Occassionally
Wood Duck,Anatidae,Seed,Wetland,No,Short,2.82,1,No
Wood Stork,Ciconiidae,Vertebrates,Wetland,No,Withdrawal,3.41,3.5,No
Swainson's Thrush,Turdidae,Invertebrates,Woodland,Yes,Moderate,1.65,1,No
Wood Thrush,Turdidae,Invertebrates,Woodland,Yes,Moderate,1.65,1,No
Worm-eating Warbler,Parulidae,Invertebrates,Woodland,No,Moderate,1.15,1,No
Wrentit,Timaliidae,Omnivore,Shrubland,No,Resident,1.16,1,No
Yellow Rail,Rallidae,Invertebrates,Wetland,No,Moderate,1.75,1,No
Yellow Warbler,Parulidae,Invertebrates,Shrubland,No,Moderate,1.01,1,No
Yellow-bellied Sapsucker,Picidae,Omnivore,Woodland,Yes,Short,1.69,1,Occassionally
Yellow-billed Loon,Gaviidae,Vertebrates,Wetland,No,Moderate,3.69,3,No
Yellow-billed Magpie,Corvidae,Omnivore,Woodland,No,Resident,2.19,2,Occassionally
Yellow-breasted Chat,Parulidae,Omnivore,Shrubland,No,Moderate,1.41,1,No
Yellow-crowned Night-Heron,Ardeidae,Invertebrates,Wetland,No,Withdrawal,2.83,2,No
Yellow-eyed Junco,Emberizidae,Omnivore,Woodland,No,Resident,1.3,1,No
Yellow-footed Gull,Laridae,Vertebrates,Wetland,No,Short,3.12,4.5,No
Yellow-headed Blackbird,Icteridae,Omnivore,Wetland,No,Short,1.87,1,No
Yellow-rumped Warbler,Parulidae,Invertebrates,Woodland,No,Short,1.08,1,Occassionally
Yellow-throated Vireo,Vireonidae,Invertebrates,Woodland,No,Moderate,1.24,1,No
Yellow-throated Warbler,Parulidae,Invertebrates,Woodland,No,Short,0.99,1,Occassionally
Zone-tailed Hawk,Accipitridae,Vertebrates,Woodland,No,Short,2.88,2,No
