prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Burrowing Owl,Strigidae,Vertebrates,Grassland,Yes,Short,2.18,1,No
Bushtit,Aegithalidae,Invertebrates,Various,Yes,Resident,0.7,1,Yes
Cackling and Canada Goose †,Anatidae,Vegetation,Wetland,Yes,Short,3.45,1,Occassionally
Cactus Wren,Troglodytidae,Invertebrates,Shrubland,Yes,Resident,1.59,0.7,Yes
California Towhee,Emberizidae,Seed,Shrubland,Yes,Resident,1.69,1,Occassionally
California Condor,Cathartidae,Vertebrates,Various,No,Resident,3.93,6,No
California Gnatcatcher,Polioptilidae,Invertebrates,Shrubland,No,Resident,0.72,1,No
California Gull,Laridae,Omnivore,Wetland,Yes,Short,2.84,4,No
California Quail,Odontophoridae,Omnivore,Shrubland,Yes,Resident,2.27,0.8,Occassionally
California Thrasher,Mimidae,Invertebrates,Shrubland,Yes,Resident,1.93,0.6,Occassionally
Calliope Hummingbird,Trochilidae,Nectar,Woodland,No,Moderate,0.48,1,Yes
Canvasback,Anatidae,Vegetation,Wetland,No,Short,3.08,1,No
Canyon Wren,Troglodytidae,Invertebrates,Various,No,Short,1.08,2,No
Cape May Warbler,Parulidae,Invertebrates,Woodland,No,Long,1,1,No
Carolina Chickadee,Paridae,Invertebrates,Woodland,Yes,Resident,1,1,Yes
Carolina Wren,Troglodytidae,Invertebrates,Woodland,Yes,Resident,1.28,1,Yes
Caspian Tern,Sternidae,Vertebrates,Wetland,No,Moderate,2.81,2.5,No
Cassin's Auklet,Alcidae,Invertebrates,Ocean,No,Short,2.27,3,No
Cassin's Finch,Fringillidae,Seed,Woodland,No,Short,1.42,1,Yes
Cassin's Kingbird,Tyrannidae,Invertebrates,Woodland,No,Moderate,1.63,2,No
Cassin's Sparrow,Emberizidae,Omnivore,Grassland,No,Short,1.26,1,No
Cattle Egret,Ardeidae,Invertebrates,Wetland,Yes,Short,2.58,2.5,No
Cliff Swallow,Hirundinidae,Invertebrates,Various,Yes,Short,1.28,1,No
Cave Swallow,Hirundinidae,Invertebrates,Various,Yes,Short,1.28,1,No
Cedar Waxwing,Bombycillidae,Fruit,Woodland,Yes,Irruptive,1.5,1,Occassionally
Chestnut-backed Chickadee,Paridae,Omnivore,Woodland,Yes,Resident,1,1,Yes
Chestnut-collared Longspur,Emberizidae,Omnivore,Grassland,No,Moderate,1.3,1,No
Chestnut-sided Warbler,Parulidae,Invertebrates,Shrubland,No,Long,0.97,1,No
Chihuahuan Raven,Corvidae,Omnivore,Shrubland,No,Withdrawal,2.73,1,No
Chipping Sparrow,Emberizidae,Seed,Woodland,Yes,Short,1.09,1,Occassionally
Chuck-will's-widow,Caprimulgidae,Invertebrates,Woodland,No,Short,2.04,1,No
Chukar,Phasianidae,Seed,Various,No,Resident,2.7,1,Occassionally
Cinnamon Teal,Anatidae,Vegetation,Wetland,No,Short,2.58,1,No
Clapper Rail,Rallidae,Omnivore,Wetland,No,Resident,2.41,1,No
Clark's and Western Grebe §§§,Podicipedidae,Vertebrates,Wetland,No,Short,3.06,1,No
Clark's Nutcracker,Corvidae,Seed,Woodland,No,Resident,2.11,2,Occassionally
Clay-colored Sparrow,Emberizidae,Seed,Shrubland,No,Moderate,1.05,1,Occassionally
Clay-colored Thrush,Turdidae,Invertebrates,Woodland,Yes,Resident,1.9,1,No
Common Eider,Anatidae,Invertebrates,Ocean,No,Short,3.31,2.5,No
Common Goldeneye,Anatidae,Invertebrates,Wetland,No,Short,2.96,2,No
Common Grackle,Icteridae,Omnivore,Various,Yes,Short,2.02,1,Yes
Common Ground-Dove,Columbidae,Seed,Shrubland,No,Resident,1.55,0.2,Occassionally
Common Loon,Gaviidae,Vertebrates,Wetland,No,Moderate,3.7,2.5,No
Common Merganser,Anatidae,Vertebrates,Wetland,No,Short,3.16,2,No
Common Moorhen,Rallidae,Omnivore,Wetland,No,Withdrawal,2.53,1,No
Common Murre,Alcidae,Vertebrates,Ocean,No,Short,3,5,No
Common Myna,Sturnidae,Omnivore,Various,Yes,Resident,2.07,1,No
Common Pauraque,Caprimulgidae,Invertebrates,Shrubland,No,Resident,1.76,1,No
Common Poorwill,Caprimulgidae,Invertebrates,Shrubland,No,Short,1.68,1,No
Common Raven,Corvidae,Omnivore,Various,Yes,Resident,2.97,1,Occassionally
Common Redpoll,Fringillidae,Seed,Shrubland,No,Irruptive,1.15,1,Yes
Common Tern,Sternidae,Vertebrates,Wetland,No,Moderate,2.11,3,No
Common Yellowthroat,Parulidae,Invertebrates,Shrubland,No,Short,0.98,1,No
Cooper's Hawk,Accipitridae,Vertebrates,Woodland,Yes,Short,2.63,2,Occassionally
Costa's Hummingbird,Trochilidae,Nectar,Shrubland,No,Short,0.48,1,Yes
Couch's and Tropical Kingbird †††,Tyrannidae,Invertebrates,Woodland,Yes,Withdrawal,1.58,1,No
Crested Caracara,Falconidae,Vertebrates,Shrubland,No,Resident,3.07,3,No
Crested Myna,Sturnidae,Omnivore,Various,Yes,Resident,2.04,1,No
Crissal Thrasher,Mimidae,Invertebrates,Shrubland,No,Resident,1.8,0.8,Occassionally
Curve-billed Thrasher,Mimidae,Invertebrates,Shrubland,Yes,Resident,1.91,1,Occassionally
Dark-eyed Junco,Emberizidae,Seed,Woodland,Yes,Short,1.29,1,Yes
Dickcissel,Cardinalidae,Seed,Grassland,No,Moderate,1.42,1,Occassionally
Double-crested Cormorant,Phalacrocoracidae,Vertebrates,Wetland,Yes,Short,3.26,2,No
Dovekie,Alcidae,Invertebrates,Ocean,No,Withdrawal,2.26,5.5,No
Downy Woodpecker,Picidae,Omnivore,Woodland,Yes,Resident,1.4,1,Yes
Dunlin,Scolopacidae,Invertebrates,Wetland,No,Moderate,1.72,1.5,No
Dusky Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Moderate,1.04,1,No
Dusky Grouse,Tetraodonidae,Vegetation,Woodland,No,Resident,3.02,1,No
Dusky-capped Flycatcher,Tyrannidae,Invertebrates,Woodland,No,Withdrawal,1.31,1,No
Eared Grebe,Podicipedidae,Invertebrates,Wetland,No,Short,2.62,1.5,No
Eastern and Mexican Whip-poor-will ‡,Caprimulgidae,Invertebrates,Woodland,No,Moderate,1.72,1,No
Spotted Towhee,Emberizidae,Omnivore,Shrubland,No,Short,1.61,2,Occassionally
Eastern and Western Screech-Owl ¶¶¶,Strigidae,Vertebrates,Woodland,Yes,Resident,2.24,1,No
Eastern Bluebird,Turdidae,Invertebrates,Woodland,No,Short,1.44,1,Yes
Eastern Meadowlark,Icteridae,Invertebrates,Grassland,No,Withdrawal,1.96,1,Occassionally
Eastern Phoebe,Tyrannidae,Invertebrates,Woodland,Yes,Short,1.29,1,No
Eastern Wood-Pewee,Tyrannidae,Invertebrates,Woodland,No,Long,1.15,1,No
